path,title
publisher/legalName,Legal Name
parties/name,Common name
parties/identifier/legalName,Legal Name
parties/additionalIdentifiers/legalName,Legal Name
parties/address/streetAddress,Street address
parties/address/locality,Locality
parties/address/region,Region
parties/contactPoint/name,Name
buyer/name,Organization name
planning/rationale,Rationale
planning/budget/description,Budget Source
planning/budget/project,Project title
planning/documents/title,Title
planning/documents/description,Description
planning/milestones/title,Title
planning/milestones/description,Description
tender/title,Tender title
tender/description,Tender description
tender/statusDetails,Status details
tender/procuringEntity/name,Organization name
tender/items/description,Description
tender/items/classification/description,Description
tender/items/additionalClassifications/description,Description
tender/items/unit/name,Name
tender/procurementMethodDetails,Procurement method details
tender/procurementMethodRationale,Procurement method rationale
tender/awardCriteriaDetails,Award criteria details
tender/submissionMethodDetails,Submission method details
tender/exclusionGrounds,Exclusion grounds
tender/selectionCriteria,Selection criteria
tender/tenderers/name,Organization name
tender/documents/title,Title
tender/documents/description,Description
tender/milestones/title,Title
tender/milestones/description,Description
tender/amendments/rationale,Rationale
tender/amendments/description,Description
awards/title,Title
awards/description,Description
awards/statusDetails,Status details
awards/suppliers/name,Organization name
awards/items/description,Description
awards/items/classification/description,Description
awards/items/additionalClassifications/description,Description
awards/items/unit/name,Name
awards/documents/title,Title
awards/documents/description,Description
awards/amendments/rationale,Rationale
awards/amendments/description,Description
contracts/title,Contract title
contracts/description,Contract description
contracts/statusDetails,Status details
contracts/items/description,Description
contracts/items/classification/description,Description
contracts/items/additionalClassifications/description,Description
contracts/items/unit/name,Name
contracts/documents/title,Title
contracts/documents/description,Description
contracts/implementation/transactions/payer/name,Organization name
contracts/implementation/transactions/payee/name,Organization name
contracts/implementation/milestones/title,Title
contracts/implementation/milestones/description,Description
contracts/implementation/documents/title,Title
contracts/implementation/documents/description,Description
contracts/relatedProcesses/title,Related process title
contracts/milestones/title,Title
contracts/milestones/description,Description
contracts/amendments/rationale,Rationale
contracts/amendments/description,Description
relatedProcesses/title,Related process title
