Code,Title,URI
aa,Afar,http://id.loc.gov/vocabulary/iso639-1/aa
ab,Abkhazian,http://id.loc.gov/vocabulary/iso639-1/ab
ae,Avestan,http://id.loc.gov/vocabulary/iso639-1/ae
af,Afrikaans,http://id.loc.gov/vocabulary/iso639-1/af
ak,Akan,http://id.loc.gov/vocabulary/iso639-1/ak
am,Amharic,http://id.loc.gov/vocabulary/iso639-1/am
an,Aragonese,http://id.loc.gov/vocabulary/iso639-1/an
ar,Arabic,http://id.loc.gov/vocabulary/iso639-1/ar
as,Assamese,http://id.loc.gov/vocabulary/iso639-1/as
av,Avaric,http://id.loc.gov/vocabulary/iso639-1/av
ay,Aymara,http://id.loc.gov/vocabulary/iso639-1/ay
az,Azerbaijani,http://id.loc.gov/vocabulary/iso639-1/az
ba,Bashkir,http://id.loc.gov/vocabulary/iso639-1/ba
be,Belarusian,http://id.loc.gov/vocabulary/iso639-1/be
bg,Bulgarian,http://id.loc.gov/vocabulary/iso639-1/bg
bh,Bihari languages,http://id.loc.gov/vocabulary/iso639-1/bh
bi,Bislama,http://id.loc.gov/vocabulary/iso639-1/bi
bm,Bambara,http://id.loc.gov/vocabulary/iso639-1/bm
bn,Bengali,http://id.loc.gov/vocabulary/iso639-1/bn
bo,Tibetan,http://id.loc.gov/vocabulary/iso639-1/bo
br,Breton,http://id.loc.gov/vocabulary/iso639-1/br
bs,Bosnian,http://id.loc.gov/vocabulary/iso639-1/bs
ca,Catalan |  Valencian,http://id.loc.gov/vocabulary/iso639-1/ca
ce,Chechen,http://id.loc.gov/vocabulary/iso639-1/ce
ch,Chamorro,http://id.loc.gov/vocabulary/iso639-1/ch
co,Corsican,http://id.loc.gov/vocabulary/iso639-1/co
cr,Cree,http://id.loc.gov/vocabulary/iso639-1/cr
cs,Czech,http://id.loc.gov/vocabulary/iso639-1/cs
cu,Church Slavic |  Old Slavonic |  Church Slavonic |  Old Bulgarian |  Old Church Slavonic,http://id.loc.gov/vocabulary/iso639-1/cu
cv,Chuvash,http://id.loc.gov/vocabulary/iso639-1/cv
cy,Welsh,http://id.loc.gov/vocabulary/iso639-1/cy
da,Danish,http://id.loc.gov/vocabulary/iso639-1/da
de,German,http://id.loc.gov/vocabulary/iso639-1/de
dv,Divehi |  Dhivehi |  Maldivian,http://id.loc.gov/vocabulary/iso639-1/dv
dz,Dzongkha,http://id.loc.gov/vocabulary/iso639-1/dz
ee,Ewe,http://id.loc.gov/vocabulary/iso639-1/ee
el,"Greek, Modern (1453-)",http://id.loc.gov/vocabulary/iso639-1/el
en,English,http://id.loc.gov/vocabulary/iso639-1/en
eo,Esperanto,http://id.loc.gov/vocabulary/iso639-1/eo
es,Spanish |  Castilian,http://id.loc.gov/vocabulary/iso639-1/es
et,Estonian,http://id.loc.gov/vocabulary/iso639-1/et
eu,Basque,http://id.loc.gov/vocabulary/iso639-1/eu
fa,Persian,http://id.loc.gov/vocabulary/iso639-1/fa
ff,Fulah,http://id.loc.gov/vocabulary/iso639-1/ff
fi,Finnish,http://id.loc.gov/vocabulary/iso639-1/fi
fj,Fijian,http://id.loc.gov/vocabulary/iso639-1/fj
fo,Faroese,http://id.loc.gov/vocabulary/iso639-1/fo
fr,French,http://id.loc.gov/vocabulary/iso639-1/fr
fy,Western Frisian,http://id.loc.gov/vocabulary/iso639-1/fy
ga,Irish,http://id.loc.gov/vocabulary/iso639-1/ga
gd,Gaelic |  Scottish Gaelic,http://id.loc.gov/vocabulary/iso639-1/gd
gl,Galician,http://id.loc.gov/vocabulary/iso639-1/gl
gn,Guarani,http://id.loc.gov/vocabulary/iso639-1/gn
gu,Gujarati,http://id.loc.gov/vocabulary/iso639-1/gu
gv,Manx,http://id.loc.gov/vocabulary/iso639-1/gv
ha,Hausa,http://id.loc.gov/vocabulary/iso639-1/ha
he,Hebrew,http://id.loc.gov/vocabulary/iso639-1/he
hi,Hindi,http://id.loc.gov/vocabulary/iso639-1/hi
ho,Hiri Motu,http://id.loc.gov/vocabulary/iso639-1/ho
hr,Croatian,http://id.loc.gov/vocabulary/iso639-1/hr
ht,Haitian |  Haitian Creole,http://id.loc.gov/vocabulary/iso639-1/ht
hu,Hungarian,http://id.loc.gov/vocabulary/iso639-1/hu
hy,Armenian,http://id.loc.gov/vocabulary/iso639-1/hy
hz,Herero,http://id.loc.gov/vocabulary/iso639-1/hz
ia,Interlingua (International Auxiliary Language Association),http://id.loc.gov/vocabulary/iso639-1/ia
id,Indonesian,http://id.loc.gov/vocabulary/iso639-1/id
ie,Interlingue |  Occidental,http://id.loc.gov/vocabulary/iso639-1/ie
ig,Igbo,http://id.loc.gov/vocabulary/iso639-1/ig
ii,Sichuan Yi |  Nuosu,http://id.loc.gov/vocabulary/iso639-1/ii
ik,Inupiaq,http://id.loc.gov/vocabulary/iso639-1/ik
io,Ido,http://id.loc.gov/vocabulary/iso639-1/io
is,Icelandic,http://id.loc.gov/vocabulary/iso639-1/is
it,Italian,http://id.loc.gov/vocabulary/iso639-1/it
iu,Inuktitut,http://id.loc.gov/vocabulary/iso639-1/iu
ja,Japanese,http://id.loc.gov/vocabulary/iso639-1/ja
jv,Javanese,http://id.loc.gov/vocabulary/iso639-1/jv
ka,Georgian,http://id.loc.gov/vocabulary/iso639-1/ka
kg,Kongo,http://id.loc.gov/vocabulary/iso639-1/kg
ki,Kikuyu |  Gikuyu,http://id.loc.gov/vocabulary/iso639-1/ki
kj,Kuanyama |  Kwanyama,http://id.loc.gov/vocabulary/iso639-1/kj
kk,Kazakh,http://id.loc.gov/vocabulary/iso639-1/kk
kl,Kalaallisut |  Greenlandic,http://id.loc.gov/vocabulary/iso639-1/kl
km,Central Khmer,http://id.loc.gov/vocabulary/iso639-1/km
kn,Kannada,http://id.loc.gov/vocabulary/iso639-1/kn
ko,Korean,http://id.loc.gov/vocabulary/iso639-1/ko
kr,Kanuri,http://id.loc.gov/vocabulary/iso639-1/kr
ks,Kashmiri,http://id.loc.gov/vocabulary/iso639-1/ks
ku,Kurdish,http://id.loc.gov/vocabulary/iso639-1/ku
kv,Komi,http://id.loc.gov/vocabulary/iso639-1/kv
kw,Cornish,http://id.loc.gov/vocabulary/iso639-1/kw
ky,Kirghiz |  Kyrgyz,http://id.loc.gov/vocabulary/iso639-1/ky
la,Latin,http://id.loc.gov/vocabulary/iso639-1/la
lb,Luxembourgish |  Letzeburgesch,http://id.loc.gov/vocabulary/iso639-1/lb
lg,Ganda,http://id.loc.gov/vocabulary/iso639-1/lg
li,Limburgan |  Limburger |  Limburgish,http://id.loc.gov/vocabulary/iso639-1/li
ln,Lingala,http://id.loc.gov/vocabulary/iso639-1/ln
lo,Lao,http://id.loc.gov/vocabulary/iso639-1/lo
lt,Lithuanian,http://id.loc.gov/vocabulary/iso639-1/lt
lu,Luba-Katanga,http://id.loc.gov/vocabulary/iso639-1/lu
lv,Latvian,http://id.loc.gov/vocabulary/iso639-1/lv
mg,Malagasy,http://id.loc.gov/vocabulary/iso639-1/mg
mh,Marshallese,http://id.loc.gov/vocabulary/iso639-1/mh
mi,Maori,http://id.loc.gov/vocabulary/iso639-1/mi
mk,Macedonian,http://id.loc.gov/vocabulary/iso639-1/mk
ml,Malayalam,http://id.loc.gov/vocabulary/iso639-1/ml
mn,Mongolian,http://id.loc.gov/vocabulary/iso639-1/mn
mr,Marathi,http://id.loc.gov/vocabulary/iso639-1/mr
ms,Malay,http://id.loc.gov/vocabulary/iso639-1/ms
mt,Maltese,http://id.loc.gov/vocabulary/iso639-1/mt
my,Burmese,http://id.loc.gov/vocabulary/iso639-1/my
na,Nauru,http://id.loc.gov/vocabulary/iso639-1/na
nb,"Bokmål, Norwegian |  Norwegian Bokmål",http://id.loc.gov/vocabulary/iso639-1/nb
nd,"Ndebele, North |  North Ndebele",http://id.loc.gov/vocabulary/iso639-1/nd
ne,Nepali,http://id.loc.gov/vocabulary/iso639-1/ne
ng,Ndonga,http://id.loc.gov/vocabulary/iso639-1/ng
nl,Dutch |  Flemish,http://id.loc.gov/vocabulary/iso639-1/nl
nn,"Norwegian Nynorsk |  Nynorsk, Norwegian",http://id.loc.gov/vocabulary/iso639-1/nn
no,Norwegian,http://id.loc.gov/vocabulary/iso639-1/no
nr,"Ndebele, South |  South Ndebele",http://id.loc.gov/vocabulary/iso639-1/nr
nv,Navajo |  Navaho,http://id.loc.gov/vocabulary/iso639-1/nv
ny,Chichewa |  Chewa |  Nyanja,http://id.loc.gov/vocabulary/iso639-1/ny
oc,Occitan (post 1500),http://id.loc.gov/vocabulary/iso639-1/oc
oj,Ojibwa,http://id.loc.gov/vocabulary/iso639-1/oj
om,Oromo,http://id.loc.gov/vocabulary/iso639-1/om
or,Oriya,http://id.loc.gov/vocabulary/iso639-1/or
os,Ossetian |  Ossetic,http://id.loc.gov/vocabulary/iso639-1/os
pa,Panjabi |  Punjabi,http://id.loc.gov/vocabulary/iso639-1/pa
pi,Pali,http://id.loc.gov/vocabulary/iso639-1/pi
pl,Polish,http://id.loc.gov/vocabulary/iso639-1/pl
ps,Pushto |  Pashto,http://id.loc.gov/vocabulary/iso639-1/ps
pt,Portuguese,http://id.loc.gov/vocabulary/iso639-1/pt
qu,Quechua,http://id.loc.gov/vocabulary/iso639-1/qu
rm,Romansh,http://id.loc.gov/vocabulary/iso639-1/rm
rn,Rundi,http://id.loc.gov/vocabulary/iso639-1/rn
ro,Romanian |  Moldavian |  Moldovan,http://id.loc.gov/vocabulary/iso639-1/ro
ru,Russian,http://id.loc.gov/vocabulary/iso639-1/ru
rw,Kinyarwanda,http://id.loc.gov/vocabulary/iso639-1/rw
sa,Sanskrit,http://id.loc.gov/vocabulary/iso639-1/sa
sc,Sardinian,http://id.loc.gov/vocabulary/iso639-1/sc
sd,Sindhi,http://id.loc.gov/vocabulary/iso639-1/sd
se,Northern Sami,http://id.loc.gov/vocabulary/iso639-1/se
sg,Sango,http://id.loc.gov/vocabulary/iso639-1/sg
si,Sinhala |  Sinhalese,http://id.loc.gov/vocabulary/iso639-1/si
sk,Slovak,http://id.loc.gov/vocabulary/iso639-1/sk
sl,Slovenian,http://id.loc.gov/vocabulary/iso639-1/sl
sm,Samoan,http://id.loc.gov/vocabulary/iso639-1/sm
sn,Shona,http://id.loc.gov/vocabulary/iso639-1/sn
so,Somali,http://id.loc.gov/vocabulary/iso639-1/so
sq,Albanian,http://id.loc.gov/vocabulary/iso639-1/sq
sr,Serbian,http://id.loc.gov/vocabulary/iso639-1/sr
ss,Swati,http://id.loc.gov/vocabulary/iso639-1/ss
st,"Sotho, Southern",http://id.loc.gov/vocabulary/iso639-1/st
su,Sundanese,http://id.loc.gov/vocabulary/iso639-1/su
sv,Swedish,http://id.loc.gov/vocabulary/iso639-1/sv
sw,Swahili,http://id.loc.gov/vocabulary/iso639-1/sw
ta,Tamil,http://id.loc.gov/vocabulary/iso639-1/ta
te,Telugu,http://id.loc.gov/vocabulary/iso639-1/te
tg,Tajik,http://id.loc.gov/vocabulary/iso639-1/tg
th,Thai,http://id.loc.gov/vocabulary/iso639-1/th
ti,Tigrinya,http://id.loc.gov/vocabulary/iso639-1/ti
tk,Turkmen,http://id.loc.gov/vocabulary/iso639-1/tk
tl,Tagalog,http://id.loc.gov/vocabulary/iso639-1/tl
tn,Tswana,http://id.loc.gov/vocabulary/iso639-1/tn
to,Tonga (Tonga Islands),http://id.loc.gov/vocabulary/iso639-1/to
tr,Turkish,http://id.loc.gov/vocabulary/iso639-1/tr
ts,Tsonga,http://id.loc.gov/vocabulary/iso639-1/ts
tt,Tatar,http://id.loc.gov/vocabulary/iso639-1/tt
tw,Twi,http://id.loc.gov/vocabulary/iso639-1/tw
ty,Tahitian,http://id.loc.gov/vocabulary/iso639-1/ty
ug,Uighur |  Uyghur,http://id.loc.gov/vocabulary/iso639-1/ug
uk,Ukrainian,http://id.loc.gov/vocabulary/iso639-1/uk
ur,Urdu,http://id.loc.gov/vocabulary/iso639-1/ur
uz,Uzbek,http://id.loc.gov/vocabulary/iso639-1/uz
ve,Venda,http://id.loc.gov/vocabulary/iso639-1/ve
vi,Vietnamese,http://id.loc.gov/vocabulary/iso639-1/vi
vo,Volapük,http://id.loc.gov/vocabulary/iso639-1/vo
wa,Walloon,http://id.loc.gov/vocabulary/iso639-1/wa
wo,Wolof,http://id.loc.gov/vocabulary/iso639-1/wo
xh,Xhosa,http://id.loc.gov/vocabulary/iso639-1/xh
yi,Yiddish,http://id.loc.gov/vocabulary/iso639-1/yi
yo,Yoruba,http://id.loc.gov/vocabulary/iso639-1/yo
za,Zhuang |  Chuang,http://id.loc.gov/vocabulary/iso639-1/za
zh,Chinese,http://id.loc.gov/vocabulary/iso639-1/zh
zu,Zulu,http://id.loc.gov/vocabulary/iso639-1/zu
