Code,Title
application/1d-interleaved-parityfec,1d-interleaved-parityfec
application/3gpdash-qoe-report+xml,3gpdash-qoe-report+xml
application/3gppHal+json,3gppHal+json
application/3gppHalForms+json,3gppHalForms+json
application/3gpp-ims+xml,3gpp-ims+xml
application/A2L,A2L
application/activemessage,activemessage
application/activity+json,activity+json
application/alto-costmap+json,alto-costmap+json
application/alto-costmapfilter+json,alto-costmapfilter+json
application/alto-directory+json,alto-directory+json
application/alto-endpointprop+json,alto-endpointprop+json
application/alto-endpointpropparams+json,alto-endpointpropparams+json
application/alto-endpointcost+json,alto-endpointcost+json
application/alto-endpointcostparams+json,alto-endpointcostparams+json
application/alto-error+json,alto-error+json
application/alto-networkmapfilter+json,alto-networkmapfilter+json
application/alto-networkmap+json,alto-networkmap+json
application/alto-updatestreamcontrol+json,alto-updatestreamcontrol+json
application/alto-updatestreamparams+json,alto-updatestreamparams+json
application/AML,AML
application/andrew-inset,andrew-inset
application/applefile,applefile
application/ATF,ATF
application/ATFX,ATFX
application/atom+xml,atom+xml
application/atomcat+xml,atomcat+xml
application/atomdeleted+xml,atomdeleted+xml
application/atomicmail,atomicmail
application/atomsvc+xml,atomsvc+xml
application/atsc-dwd+xml,atsc-dwd+xml
application/atsc-dynamic-event-message,atsc-dynamic-event-message
application/atsc-held+xml,atsc-held+xml
application/atsc-rdt+json,atsc-rdt+json
application/atsc-rsat+xml,atsc-rsat+xml
application/ATXML,ATXML
application/auth-policy+xml,auth-policy+xml
application/bacnet-xdd+zip,bacnet-xdd+zip
application/batch-SMTP,batch-SMTP
application/beep+xml,beep+xml
application/calendar+json,calendar+json
application/calendar+xml,calendar+xml
application/call-completion,call-completion
application/CALS-1840,CALS-1840
application/captive+json,captive+json
application/cbor,cbor
application/cbor-seq,cbor-seq
application/cccex,cccex
application/ccmp+xml,ccmp+xml
application/ccxml+xml,ccxml+xml
application/CDFX+XML,CDFX+XML
application/cdmi-capability,cdmi-capability
application/cdmi-container,cdmi-container
application/cdmi-domain,cdmi-domain
application/cdmi-object,cdmi-object
application/cdmi-queue,cdmi-queue
application/cdni,cdni
application/CEA,CEA
application/cea-2018+xml,cea-2018+xml
application/cellml+xml,cellml+xml
application/cfw,cfw
application/clr,clr
application/clue_info+xml,clue_info+xml
application/clue+xml,clue+xml
application/cms,cms
application/cnrp+xml,cnrp+xml
