Field Name,Description,Format
id,"The identifier for this contract. It must be unique and cannot change within its Open Contracting Process (defined by a single ocid). See the <a href=""http://ocds.open-contracting.org/standard/r/1__0__rc/en/key_concepts/identifiers/"">identifier guidance</a> for further details."," string, integer"
awardID,The award.id against which this contract is being issued.," string, integer"
title,Contract title, string
description,Contract description, string
status,"The current status of the contract. Drawn from the <a href=""http://ocds.open-contracting.org/standard/r/1__0__rc/en/schema/codelists/#contract-status"">contractStatus codelist</a>", string
period,"The start and end date for the contract. See <a href=""#period"">Period</a>",Reference
value,"The total value of this contract. See <a href=""#value"">Value</a>",Reference
items,"The goods, services, and any intangible outcomes in this contract. Note: If the items are the same as the award do not repeat. See <a href=""#item"">Item</a> section for further details.",Object Array
dateSigned,"The date the contract was signed. In the case of multiple signatures, the date of the last signature.",date-time string
documents,"All documents and attachments related to the contract, including any notices. See <a href=""#document"">Document</a> section for further details.",Object Array
amendment," See <a href=""#amendment"">Amendment</a>",Reference
implementation,"Information related to the implementation of the contract in accordance with the obligations laid out therein. See <a href=""#implementation"">Implementation</a>",Reference
