Field Name,Description,Format
id,"An identifier for this tender process. This may be the same as the ocid, or may be drawn from an internally held identifier for this tender."," string, integer"
title,Tender title, string
description,Tender description, string
status,"The current status of the tender based on the <a href=""http://ocds.open-contracting.org/standard/r/1__0__0/en/schema/codelists#tender-status"">tenderStatus codelist</a>", string
items,"The goods and services to be purchased, broken into line items wherever possible. Items should not be duplicated, but a quantity of 2 specified instead. See <a href=""#item"">Item</a> section for further details.",Object Array
minValue,"The minimum estimated value of the procurement. See <a href=""#value"">Value</a>",Reference
value,"The total upper estimated value of the procurement. See <a href=""#value"">Value</a>",Reference
procurementMethod,"Specify tendering method against the <a href=""http://ocds.open-contracting.org/standard/r/1__0__0/en/schema/codelists#method"">method codelist</a> as per <a href=""http://www.wto.org/english/docs_e/legal_e/rev-gpr-94_01_e.htm"">GPA definitions</a> of Open, Selective, Limited", string
procurementMethodRationale,"Rationale of procurement method, especially in the case of Limited tendering.", string
awardCriteria,"Specify the award criteria for the procurement, using the <a href=""http://ocds.open-contracting.org/standard/r/1__0__0/en/schema/codelists#award-criteria"">award criteria codelist</a>", string
awardCriteriaDetails,Any detailed or further information on the award or selection criteria., string
submissionMethod,"Specify the method by which bids must be submitted, in person, written, or electronic auction. Using the <a href=""http://ocds.open-contracting.org/standard/r/1__0__0/en/schema/codelists#submission-method"">submission method codelist</a>",Array
submissionMethodDetails,"Any detailed or further information on the submission method. This may include the address, e-mail address or online service to which bids should be submitted, and any special requirements to be followed for submissions.", string
tenderPeriod,"The period when the tender is open for submissions. The end date is the closing date for tender submissions. See <a href=""#period"">Period</a>",Reference
enquiryPeriod,"The period during which enquiries may be made and answered. See <a href=""#period"">Period</a>",Reference
hasEnquiries,A Yes/No field to indicate whether enquiries were part of tender process., boolean
eligibilityCriteria,A description of any eligibility criteria for potential suppliers., string
awardPeriod,"The date or period on which an award is anticipated to be made. See <a href=""#period"">Period</a>",Reference
numberOfTenderers,, integer
tenderers,"All entities who submit a tender. See <a href=""#organization"">Organization</a> section for further details.",Object Array
procuringEntity,"The entity managing the procurement, which may be different from the buyer who is paying / using the items being procured. See <a href=""#organization"">Organization</a>",Reference
documents,"All documents and attachments related to the tender, including any notices. See the <a href=""http://ocds.open-contracting.org/standard/r/1__0__0/en/schema/codelists#document-type"">documentType codelist</a> for details of potential documents to include. See <a href=""#document"">Document</a> section for further details.",Object Array
milestones,"A list of milestones associated with the tender. See <a href=""#milestone"">Milestone</a> section for further details.",Object Array
amendment," See <a href=""#amendment"">Amendment</a>",Reference
