Code,Title,Description
planning,Planning,"A contracting process is proposed or planned. Information in the tender section describes the proposed process. The tender.status field should be used to identify whether the planning is at an early pipeline stage, or whether there are detailed plans for a tender developed."
planningUpdate,Planning Update,"Details of a proposed or planned contracting process are being updated. This may include addition of information and documents from consultation engagement activities, revised details or timelines for a proposed contracting process, or a tender.status update to indicate that a pipeline proposal has been withdrawn."
tender,Tender,Providing information about a new tender (call for proposals) process. Tender release should contain details of the goods or services being sought.
tenderAmendment,Tender Amendment,"An amendment to an existing tender release. There should be at least one tender release with the same ocid, but an earlier releaseDate, before a tenderAmendment is published. The term amendment has legal meaning in many jurisdictions."
tenderUpdate,Tender Update,"An update to an existing tender release. There should be at least one tender release with the same ocid, but an earlier releaseDate, before a tenderUpdate is published. An update may add new information or make corrections to prior published information. It should not be used for formal legal amendments to a tender, for which the tenderAmendment tag should be used."
tenderCancellation,Tender Cancellation,"The cancellation of an existing tender. There should be at least one release with the same ocid, but an earlier releaseDate, which provides details of the tender being cancelled."
award,Award,"Providing information about the award of a contract. The tender section may be populated with details of the process leading up to the award, and one or more award sections will be present."
awardUpdate,Award Update,"An update to an existing award release. There should be at least one award release with the same ocid, but an earlier releaseDate before an awardUpdate is published. An update may add new information or make corrections."
awardCancellation,Award Cancellation,Providing information about the cancellation of an award.
contract,Contract,"Providing information about the details of a contract that has been, or will be, entered into. The tender section may be populated with details of the process leading up to the contract, and the award section may contain details of the award on the basis of which this contract will be signed."
contractUpdate,Contract Update,"Providing information about updates to a contract. There should be at least one contract release with the same ocid, but an earlier releaseDate, before a contractUpdate is published. An update may add new information or make corrections to prior published information. It should not be used for formal legal amendments to a contract, for which the contractAmendment tag should be used."
contractAmendment,Contract Amendment,"An amendment to an existing contract release. There should be at least one contract release with the same ocid, but an earlier releaseDate, before a contractAmendment is published. The term amendment has legal meaning in many jurisdictions."
implementation,Implementation,Providing new information on the implementation of a contracting process.
implementationUpdate,Implementation Update,Updating existing information provided about the implementation of a contracting process.
contractTermination,Contract Termination,Providing information at the end of a contracting process.
compiled,Compiled record,"This tag is used only in compiled records, which have merged together multiple releases to provide a snapshot view of the contract, and a version history."
